,,Total Short,Selling Turno,ver         Total,Turnover
CODE,NAME OF STOCK,(SH),($),(SH),($)
687,HKICIM GROUP,22000,53900,1402000,3428960
688,CHINA OVERSEAS,2792000,75537300,17930631,484767144
689,EPI (HOLDINGS),90000,37350,2409100,997715
694,BEIJING AIRPORT,1786000,15222480,8503696,72726077
696,TRAVELSKY TECH,255000,5404750,2107445,44469197
697,SHOUGANG INT'L,158000,34684,11692000,2581918
698,TONGDA GROUP,1830000,1644500,22023432,19742639
699,CAR INC,377000,2559890,1721212,11723478
700,TENCENT,4459800,1447541140,25224551,8184725625
707,ATV HOLDINGS,20000,5670,10382000,2972480
708,EVERG HEALTH,5000,56300,1581501,17748891
709,GIORDANO INT'L,14000,50860,2372000,8642300
715,CHINA OCEANWIDE,94000,34950,4018000,1498910
716,SINGAMAS CONT,1208000,1227380,8797017,9153668
728,CHINA TELECOM,6620000,27671120,70619925,294935082
729,FDG EVEHICLES,10000,790,16360000,1287010
732,TRULY INT'L,410000,496100,2753248,3333563
735,CP CLEAN ENERGY,3000,7635,306000,777880
743,ASIA CEMENT CH,6500,38805,683090,4082953
751,SKYWORTHDIGITAL,788000,1594140,14614000,29542100
753,AIR CHINA,1782000,14329720,20449221,163810676
754,HOPSON DEV HOLD,2000,12700,372000,2370860
762,CHINA UNICOM,2242000,20504920,34446944,314302894
763,ZTE,1231400,20665888,14278168,239891900
772,CHINA LIT,452200,19087040,1389300,58766001
777,NETDRAGON,500,7290,542383,7861467
778,FORTUNE REIT,46000,414200,1950000,17557030
787,GLOBAL BRANDS,8802000,3335200,72706000,27569000
788,CHINA TOWER,6892000,8263280,237412890,284079075
798,CEOVU,60000,18340,788000,241760
799,IGG,97000,945140,3509666,34187968
806,VALUE PARTNERS,401000,2535630,3088736,19536594
807,SIICENVIRONMENT,130000,206500,1350000,2098260
808,PROSPERITY REIT,71000,208610,981000,2879880
813,SHIMAO PROPERTY,742000,14454060,4608378,89777676
816,HUADIAN FUXIN,10000,16480,4914760,8082804
817,CHINA JINMAO,1412000,5154400,16435269,60068969
818,HI SUN TECH,225000,266340,3590840,4266850
819,TIANNENG POWER,66000,477520,3053725,22144507
823,LINK REIT,1027500,78300350,4678357,356623684
826,TIANGONG INT'L,14000,23240,2194000,3645920
832,CENTRAL CHINA,10000,29290,1058000,3060939
836,CHINA RES POWER,1616000,23614240,9144490,133716992
839,CHINA EDU GROUP,471000,5173620,5266000,57969300
853,MICROPORT,1026000,9166100,8279428,74385379
855,CHINA WATER,176000,1548040,6324000,55499990
856,VSTECS,94000,365400,1385600,5408976
857,PETROCHINA,19288000,108954360,84154976,475831900
860,WE SOLUTIONS,8000,4000,4691000,2355735
861,DC HOLDINGS,53000,205480,672406,2607135
867,CMS,200000,1803290,9264392,83625519
868,XINYI GLASS,472000,4242820,15042714,134944736
874,BAIYUNSHAN PH,98000,3303400,2598000,87242050
877,O-NET TECH GP,187000,716420,1794392,6921288
880,SJM HOLDINGS,986000,7535130,14144171,108030931
881,ZHONGSHENG HLDG,2110000,36504710,8840156,152484193
883,CNOOC,21378000,293751420,74504070,1022821925
884,CIFI HOLD GP,1740000,6579580,22552156,84982936
895,DONGJIANG ENV,61800,545658,333000,2946392
902,HUANENG POWER,12506000,62091860,37157375,184366585
906,COFCO PACKAGING,326000,1078910,2129900,7062373
914,CONCH CEMENT,3675500,150842475,14977896,616540109
916,CHINA LONGYUAN,3248000,19549290,16968979,102120736
921,HISENSE HA,36000,223730,269000,1671980
931,CHINA LNG,256000,384460,15986500,23849785
934,SINOPEC KANTONS,96000,317020,2344000,7734548
939,CCB,135590000,920683740,331390610,2249894918
941,CHINA MOBILE,2279500,171595400,22549321,1693348477
950,LEE'S PHARM,9000,57675,518000,3338410
951,CHAOWEI POWER,66000,235490,391000,1390680
956,CHINA SUNTIEN,5000,11180,11473000,25591397
958,HN RENEWABLES,1602000,3965500,9011898,22286052
960,LONGFOR GROUP,583000,13055525,7343367,162905393
966,CHINA TAIPING,667000,17727810,5904893,156880374
968,XINYI SOLAR,1760000,5186680,12959992,38159424
973,L'OCCITANE,81500,1186080,284453,4152157
976,CHIHO ENV,4000,10080,128000,321720
981,SMIC,4331500,32865370,28980632,219598061
989,GROUND INTL DEV,1530000,706300,17015000,7822225
991,DATANG POWER,1156000,2220680,8327412,15945132
992,LENOVO GROUP,12580000,72434400,39702359,228452803
995,ANHUIEXPRESSWAY,10000,48980,609514,2978839
996,CARNIVAL GROUP,3320000,464740,83180000,11691000
998,CITIC BANK,4556000,22863390,36489792,183255305
999,I.T,10000,44320,840000,3783638
1030,FUTURE LAND,2554000,12826760,25081649,125454928
1031,KINGSTON FIN,12000,23000,1071000,2047800
1038,CKI HOLDINGS,309000,18395375,1602078,95362410
1044,HENGAN INT'L,1563000,101187300,6495969,421008749
1052,YUEXIUTRANSPORT,230000,1391280,2082000,12493588
1055,CHINA SOUTH AIR,4212000,23448320,29265321,163404091
1060,ALI PICTURES,11260000,14059100,104605920,129108008
1061,ESSEX BIO-TECH,2000,10790,247000,1321090
1066,WEIGAO GROUP,928000,7004280,9555316,72067797
1068,YURUN FOOD,31000,21700,688000,482470
1070,TCL ELECTRONICS,2000,6580,1263400,4126252
1071,HUADIAN POWER,7072000,24506960,22490933,77885934
1072,DONGFANG ELEC,4400,20366,1109600,5142790
1083,TOWNGAS CHINA,99000,612540,2158412,13358560
1086,GOODBABY INTL,503000,1493290,7094000,21033250
1088,CHINA SHENHUA,4598500,81891520,22438463,399756095
1089,LEYOU TECH H,185000,385600,2639128,5483882
1093,CSPC PHARMA,6804000,111615360,37608072,617263326
1099,SINOPHARM,333600,12825340,5677672,218540604
1106,SINO HAIJING,1540000,137500,547340000,49361100
1109,CHINA RES LAND,2810000,84047700,13423592,401363304
1112,H&H INTL HLDG,212500,10660625,1354006,68199082
1113,CK ASSET,550000,31450825,6324413,361065868
1114,BRILLIANCE CHI,1708000,12238980,41327020,296408387
1115,TIBET WATER,115000,243370,312000,662040
1117,CH MODERN D,77000,68360,1824727,1609992
1128,WYNN MACAU,4079600,80467348,17594752,347191530
1131,AGRITRADE RES,615000,930500,7141800,10792676
1133,HARBIN ELECTRIC,32000,80360,1000000,2506900
1138,COSCO SHIP ENGY,1078000,4841920,7327820,32886460
1140,OP FINANCIAL,112000,283440,2448000,6186040
1141,CMBC CAPITAL,840000,250100,2560000,757850
1157,ZOOMLION,148600,427342,5531980,15887405
1166,SOLARTECH INT'L,120000,13120,22720102,2386830
1168,SINOLINK HOLD,268000,142040,1568000,828540
1169,HAIER ELEC,830000,16008960,4736417,91203205
1171,YANZHOU COAL,1902000,13828380,14983751,109301862
1176,ZHUGUANG HOLD,102000,138720,1212000,1647580
1177,SINO BIOPHARM,11081000,80377060,87441813,633650618
1186,CHINA RAIL CONS,2504500,25897970,9446915,97655423
1193,CHINA RES GAS,284000,8994900,3217887,101648714
1199,COSCO SHIP PORT,48000,383340,4001062,31859745
1205,CITIC RESOURCES,78000,52260,2986000,1995420
1208,MMG,1620000,6371800,8246091,32346534
1211,BYD COMPANY,1052500,60334175,9467799,541529955
1212,LIFESTYLE INT'L,242500,3030130,1513500,18880745
1223,SYMPHONY HOLD,490000,486100,2780000,2766500
1224,C C LAND,58000,111460,1998303,3825513
1233,TIMES CHINA,52000,382860,5371000,39467951
1234,CHINA LILANG,20000,138720,731000,5072313
1238,POWERLONG,75000,239980,933000,2978920
1250,BE CLEAN ENERGY,220000,23460,12020000,1274300
1252,CHINA TIANRUI,2000,12760,483000,3057280
1257,CEB GREENTECH,314000,1911980,2632000,16018170
1266,XIWANG STEEL,8000,12040,3619757,5469141
1282,CHINA GOLDJOY,616000,221660,2540000,914680
1288,ABC,27718000,99855910,99213180,357357116
1293,GRAND BAOXIN,781000,1873140,4126000,9876615
1297,SINOSOFT TECH,20000,45580,352000,801950
1299,AIA,3183400,212028070,25302558,1682664090
1302,LIFETECH SCI,432000,699060,4734000,7657400
1308,SITC,293000,2114580,3778831,27313746
1310,HKBN,5000,60000,2652994,31760444
1313,CHINARES CEMENT,3202000,23914940,24142504,181385693
1316,NEXTEER,1326000,16747100,5165789,65101995
1317,MAPLELEAF EDU,310000,1117800,5366000,19294060
1330,DYNAGREEN ENV,72000,230960,1593000,5117840
1333,CHINA ZHONGWANG,324000,1196036,1798038,6629577
1336,NCI,806500,28796965,3871421,138191001
1337,RAZER,1542000,1882610,10347000,12671110
1339,PICC GROUP,2492000,8512350,21129089,72218489
1347,HUA HONG SEMI,1794000,30781280,11452696,197128724
1359,CHINA CINDA,1809000,3884480,29149614,62536044
1360,MEGAEXPO HLDG,80000,280100,4190000,14690650
1363,CTEG,422000,143480,11200000,3808000
1368,XTEP INT'L,1500,6495,2664000,11448300
1375,CC SECURITIES,75000,137830,868000,1592700
1378,CHINAHONGQIAO,4046500,19493275,12805376,61673518
1381,CANVEST ENV,189000,762550,860700,3474386
1382,PACIFICTEXTILES,51000,419770,3063916,25230908
1385,SHANGHAI FUDAN,40000,337700,3594176,29926196
1387,RENHE COMM,612000,159650,3254000,844880
1398,ICBC,71411000,409096220,245585851,1407682431
1426,SPRING REIT,97000,385960,1552000,6169430
1448,FU SHOU YUAN,329000,1998860,5214705,31803989
1458,ZHOU HEI YA,499000,1984100,3508002,13977958
1462,GOLD-FIN HLDG,64000,110840,2122000,3680520
1475,NISSIN FOODS,1000,3690,828000,3053290
1478,Q TECH,91000,432190,2157000,10242205
1508,CHINA RE,762000,1241760,11369412,18355417
1513,LIVZON PHARMA,4300,124610,343081,9908730
1515,CR MEDICAL,228500,1386150,1320316,8014610
1528,RS MACALLINE,10600,80578,358172,2725640
1530,3SBIO,163000,1936210,9679084,115054361
1548,GENSCRIPT BIO,612000,8784520,8872266,126911821
1558,HEC PHARM,171200,5250450,2303072,70225419
1566,CHINA ANIMATION,212000,579530,833000,2285520
1569,MINSHENG EDU,494000,707680,2616000,3772640
1579,YIHAI INTL,1225000,24892300,3999212,81580235
1585,YADEA,82000,225780,2514000,6909380
1610,COFCO MEAT,100000,120000,1532000,1836000
1618,MCC,78000,159080,4754540,9627470
1622,REDCO GROUP,86000,363340,2648000,11233920
1628,YUZHOU PPT,609000,2007460,7519336,24832468
1638,KAISA GROUP,410000,1008850,11944104,29577837
1658,PSBC,12232000,58372350,34376827,165297415
1666,TONG REN TANG,182000,2021420,1092294,12069362
1668,CHINASOUTHCITY,26000,31720,8368000,10146400
1680,MACAU LEGEND,13000,17940,874000,1210400
1681,CONSUN PHARMA,49000,291060,2668000,15845945
1686,SUNEVISION,29000,132230,297352,1353508
1700,SPRINGLAND,7000,9950,2781000,3934500
1717,AUSNUTRIA,305000,3043260,2219600,22117288
1727,HEBEI CONS,53500,217305,657500,2672625
1728,ZHENGTONGAUTO,681000,3197500,8082700,37915942
1766,CRRC,2274000,16792250,18684584,137876369
1773,TIANLI EDU,9000,13070,602000,873450
1776,GF SEC,1811600,22139068,6329244,77389649
1777,FANTASIA,13500,12825,2967000,2821665
1778,COLOUR LIFE,105000,466810,2334000,10353740
1788,GUOTAI JUNAN I,150000,211500,16649000,23513390
1789,AK MEDICAL,116000,603220,1214000,6305360
1800,CHINA COMM CONS,4131000,32360130,12938505,101321668
1810,XIAOMI-W,14321400,209193756,32211993,470990310
1811,CGN NEW ENERGY,32000,39560,3842000,4812890
1812,CHENMING PAPER,94500,456260,2517750,12117993
1813,KWG GROUP,1336000,9333415,7467580,52038202
1816,CGN POWER,5802000,11324420,35956755,70187836
1818,ZHAOJIN MINING,826500,6167315,6200196,46401721
1833,PA GOODDOCTOR,435800,15918825,1864188,67944881
1836,STELLA HOLDINGS,111000,886490,321500,2556208
1848,CALC,19500,160635,380000,3132390
1862,JINGRUI HLDGS,25000,62070,3543000,8475620
1881,REGAL REIT,148000,324240,951000,2087910
1882,HAITIAN INT'L,1572000,27086540,2760006,47489586
1888,KB LAMINATES,338000,2560585,4622254,34595937
1898,CHINA COAL,4500000,14388180,11284680,36073854
1899,XINGDA INT'L,34000,83530,675844,1646119
1910,SAMSONITE,451500,11237355,4761745,118520903
1913,PRADA,100100,2788000,597200,16677035
1918,SUNAC,3666000,93871350,13925676,356295310
1919,COSCO SHIP HOLD,2145000,7009375,5966466,19468324
1928,SANDS CHINA LTD,4969200,187974660,23117627,872379847
1929,CHOW TAI FOOK,2679000,17871900,5862579,39122822
1958,BAIC MOTOR,805500,3924230,15580620,76216127
1963,BCQ,24500,117605,512522,2459193
1966,CHINA SCE GROUP,168000,475600,13262000,37473530
1970,IMAX CHINA,73900,1472274,207500,4138890
1972,SWIREPROPERTIES,43200,1238730,1799431,51539911
1980,TIANGE,19000,78300,2177338,9064645
1988,MINSHENG BANK,5436500,32084220,22610947,133444603
1997,WHARF REIC,484000,23887750,2672999,131892219
1999,MAN WAH HLDGS,1603600,5860612,9064558,33168211
2001,NEW HIGHER EDU,335000,1455320,4813000,20961710
2005,SSY GROUP,450000,3553320,20192549,158292304
2006,JINJIANG HOTELS,144000,317200,3370000,7452620
2007,COUNTRY GARDEN,9416000,91133650,29768081,288339338
2009,BBMG,1219000,3128520,11264305,29015996
2018,AAC TECH,2010500,114778675,8033452,459128931
2020,ANTA SPORTS,1457000,54544800,7280803,271515736
2038,FIH,3192000,2846930,9089009,8135388
2039,CIMC,59600,518161,1898700,16502540
2098,ZALL SMARTCOM,1000,5840,12376000,72400950
2128,CHINA LESSO,202000,846590,8613055,36231399
2186,LUYE PHARMA,668500,4470960,14913194,99532939
2196,FOSUN PHARMA,818500,23900450,4418430,128900967
2198,CHINA SANJIANG,281000,555200,3866000,7688350
2199,REGINA MIRACLE,65000,363950,274993,1550141
2202,CHINA VANKE,1141100,31007805,6118870,166014660
2208,GOLDWIND,311000,2502824,2485658,19940802
2222,NVC LIGHTING,121000,68190,2041000,1142700
2232,CRYSTAL INTL,101500,482120,1186500,5641805
2233,WESTCHINACEMENT,560000,700000,10181560,12742293
2238,GAC GROUP,2918000,24312980,29739537,246630459
2255,HAICHANG HLDG,5000,8070,648000,1044270
2268,YOUYUAN HLDGS,450000,1139420,6061700,15361682
2269,WUXI BIO,553000,37216875,2597939,174948919
2280,HC GROUP,467000,2219900,1269472,6036537
2282,MGM CHINA,3882000,57622128,6971514,103580832
2298,COSMO LADY,9000,26060,898060,2597644
2303,HENGXING GOLD,4000,23800,72000,428640
2313,SHENZHOU INTL,340000,33611300,5651230,558174970
2314,LEE & MAN PAPER,1805000,13194250,5440704,39721856
2318,PING AN,10117500,785100525,32766048,2542986715
2319,MENGNIU DAIRY,3032000,75188650,11061993,274201579
2328,PICC P&C,3674000,30463140,25666083,213033747
2329,GUORUI PPT,304000,633380,3821000,8048480
2331,LI NING,1404500,12296970,10557679,92054010
2333,GREATWALL MOTOR,11773000,61327080,38093660,198629212
2338,WEICHAI POWER,1946000,17387850,12212882,108415576
2342,COMBA,122000,161840,10245054,13619707
2343,PACIFIC BASIN,483000,901070,18238448,33875238
2356,DAHSING BANKING,26000,384296,69615,1027763
2357,AVICHINA,2365000,12897650,11519135,62836854
2362,JINCHUAN INTL,114000,81470,5276504,3752648
2380,CHINA POWER,5052000,9304180,15285328,28109268
2382,SUNNY OPTICAL,2796300,224760905,10891994,878207685
2386,SINOPEC SEG,418000,3132170,2870766,21299463
2388,BOC HONG KONG,2241500,69713875,11919289,371023041
2389,BJ ENT M&H,3144000,723102,12642000,2949414
2588,BOC AVIATION,722800,44397825,1918798,118051174
2600,CHALCO,2584000,7453560,27788613,80186447
2601,CPIC,1161000,33458650,9734246,280708468
2607,SH PHARMA,718100,14232192,4704532,93103091
2611,GTJA,233000,3925740,1195484,20070308
2628,CHINA LIFE,13383000,233786400,44912522,785238414
2633,JACOBSON PHARMA,4000,6620,738000,1226980
2638,HKELECTRIC-SS,439000,3330875,4423027,33576940
2662,CAMSING INTL,14000,114740,986928,8049335
2666,UNI MEDICAL,191000,1160750,7048000,42736205
2669,CHINA OVS PPT,1545000,3639150,11056828,26037352
2678,TEXHONG TEXTILE,2500,23975,218000,2086730
2688,ENN ENERGY,595400,44796155,2320487,174289634
2689,ND PAPER,2307000,19401200,15611237,131341587
2698,WEIQIAO TEXTILE,12000,31320,258500,674940
2727,SH ELECTRIC,1580000,4288580,9614306,26066668
2768,JIAYUAN INTL,678000,9432800,6266444,86900478
2777,R&F PROPERTIES,1028000,12579336,5120573,62623543
2778,CHAMPION REIT,52000,280550,4741637,25459308
2779,CH XINHUA EDU,1000,2180,411000,891170
2799,CHINA HUARONG,2823000,4614300,37508426,61310926
2800,TRACKER FUND,31829000,869373750,37793365,1032445478
2801,ISHARES CHINA,365800,9092570,879000,21814860
2802,ISHARES EM ASIA,4000,201300,64000,3230030
2822,CSOP A50 ETF,19349800,247453488,36408499,465627173
2823,ISHARES A50,28159000,351849646,45943919,574147436
2828,HSCEI ETF,1368200,150448600,6784002,747116139
2858,YIXIN,2559000,5313890,5990000,12480535
2866,COSCO SHIP DEV,1059000,949190,17336598,15608090
2868,BJ CAPITAL LAND,48000,146660,1230000,3749496
2869,GREENTOWN SER,342000,2284860,9614068,63718121
2877,SHINEWAY PHARM,2000,19920,713000,7107087
2883,CHINA OILFIELD,2326000,17524940,11354374,85179679
2888,STANCHART,29900,1861580,361201,22472336
2899,ZIJIN MINING,5758000,17051580,16952618,50162720
3140,VANGUARDSP500,2000,39596,124049,2460207
3188,CAM CSI300,1875000,71242920,8813392,334565758
3306,JNBY,63000,896130,713560,10147208
3308,GOLDEN EAGLE,2000,17720,219000,1902150
3309,C-MER EYE,2000,11620,1616000,9395320
3311,CHINA STATE CON,2672000,18440300,12110788,83506207
3319,A-LIVING,331250,3760510,4089457,46442060
3320,CHINARES PHARMA,153000,1807730,2005910,23593692
3323,CNBM,4998000,30291160,34625660,210187225
3328,BANKCOMM,3277000,19853340,29458065,178405081
3331,VINDA INT'L,96000,1297040,733000,9940550
3333,EVERGRANDE,7674000,187351000,18510535,452227791
3337,ANTON OILFIELD,2730000,2852840,31972000,33402810
3339,LONKING,324000,704710,9459000,20534818
3360,FE HORIZON,359000,2860960,8099470,64057033
3377,SINO-OCEAN GP,1122000,3979950,8924507,31491735
3380,LOGAN PPT,546000,4956120,5436620,49053201
3382,TIANJINPORT DEV,46000,40020,1826000,1582280
3383,AGILE GROUP,2354000,24007880,7471226,76096624
3393,WASION HOLDINGS,12000,52320,303464,1313010
3396,LEGENDHOLDING,104100,2385690,475037,10882260
3606,FUYAO GLASS,226000,5721820,1265856,31928644
3613,TONGRENTANGCM,208000,2727040,3128000,41027710
3618,CQRC BANK,921000,4248940,9445790,43532454
3633,ZHONGYU GAS,22000,121500,1276000,7034540
3669,YONGDA AUTO,298500,1546475,7251060,37719494
3690,MEITUAN-W,3056500,164587935,5265125,283467796
3700,INKE,34000,76130,835000,1867160
3799,DALI FOODS,1245000,7405625,12623139,75134630
3800,GCL-POLY ENERGY,334000,183700,115402105,63512929
3808,SINOTRUK,622500,8042980,5684099,73514647
3813,POU SHENG INT'L,448000,672440,1325000,1987140
3818,CHINA DONGXIANG,132000,165770,2943000,3698945
